timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1526486302742,87,1.1 /pae-web/loginCiudadano,404,Not Found,Ciudadanos Thread Group 1-1,false,,1308,1,1,87,1,1,notebook-129
1526486301212,87,1.1 /pae-web/loginCiudadano,,"Number of samples in transaction : 1, number of failing samples : 1",Ciudadanos Thread Group 1-1,false,,1308,1,1,87,1,1,notebook-129
1526486301212,87,1.- Main Page,,"Number of samples in transaction : 1, number of failing samples : 1",Ciudadanos Thread Group 1-1,false,,1308,1,1,87,1,1,notebook-129
1526486303913,39,2.1 /pae-web/ciudadano/login,404,Not Found,Ciudadanos Thread Group 1-1,false,,1308,1,1,39,1,1,notebook-129
1526486305198,15,2.2 /pae-web/ciudadano/,404,Not Found,Ciudadanos Thread Group 1-1,false,,1308,1,1,15,1,1,notebook-129
1526486302834,54,2.1 /pae-web/ciudadano/login,,"Number of samples in transaction : 2, number of failing samples : 2",Ciudadanos Thread Group 1-1,false,,2616,1,1,54,1,1,notebook-129
1526486302834,54,2.- Login Page,,"Number of samples in transaction : 2, number of failing samples : 2",Ciudadanos Thread Group 1-1,false,,2616,1,1,54,1,1,notebook-129
1526486306698,13,3.1 /pae-web/ciudadano/fui,404,Not Found,Ciudadanos Thread Group 1-1,false,,1308,1,1,13,1,1,notebook-129
1526486305218,13,3.1 /pae-web/ciudadano/fui,,"Number of samples in transaction : 1, number of failing samples : 1",Ciudadanos Thread Group 1-1,false,,1308,1,1,13,1,1,notebook-129
1526486305218,13,3.- Menu Inicial Page,,"Number of samples in transaction : 1, number of failing samples : 1",Ciudadanos Thread Group 1-1,false,,1308,1,1,13,1,1,notebook-129
1526594673851,159,1.1 /pae-web/loginCiudadano,200,OK,Ciudadanos Thread Group 1-1,true,,10964,1,1,158,1,0,notebook-129
1526594672353,159,1.1 /pae-web/loginCiudadano,200,"Number of samples in transaction : 1, number of failing samples : 0",Ciudadanos Thread Group 1-1,true,,10964,1,1,158,1,0,notebook-129
1526594672353,159,1.- Main Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Ciudadanos Thread Group 1-1,true,,10964,1,1,158,1,0,notebook-129
1526594675156,576,2.1 /pae-web/ciudadano/login,200,OK,Ciudadanos Thread Group 1-1,true,,11646,1,1,271,1,0,notebook-129
1526594676878,53,2.2 /pae-web/ciudadano/,200,OK,Ciudadanos Thread Group 1-1,true,,10901,1,1,52,1,0,notebook-129
1526594674027,629,2.1 /pae-web/ciudadano/login,200,"Number of samples in transaction : 2, number of failing samples : 0",Ciudadanos Thread Group 1-1,true,,22547,1,1,323,1,0,notebook-129
1526594674027,629,2.- Login Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Ciudadanos Thread Group 1-1,true,,22547,1,1,323,1,0,notebook-129
1526594678159,96,3.1 /pae-web/ciudadano/fui,200,OK,Ciudadanos Thread Group 1-1,true,,19892,1,1,91,1,0,notebook-129
